PaperID,NSF_Award_Number,Type,Diff_ZScore,AwardNumber,DOI,DocType,Year,Date,JournalID,ConferenceSeriesID,Citation_Count,C10,Reference_Count,C5,Team_Size,Institution_Count,Disruption,Atyp_10pct_Z,Atyp_Pairs,Atyp_Median_Z,SB_B,SB_T,Patent_Count,Newsfeed_Count,Tweet_Count,NCT_Count,NIH_Count,NSF_Count,WSB_mu,WSB_sigma,WSB_Cinf,JournalTitle,PaperTitle,BookTitle,Publisher,Volume,Issue,FirstPage,LastPage,OriginalVenue,FamilyID,RetractionType
2809799315,NSF-1633516,First,NA,1633516,10.1016/J.NEURON.2018.06.005,Journal,2018,6/27/18,45757444,NA,42,NA,91,NA,11,6,-0.002118195,-26.29550398,336,326.66101,0.232804233,2,0,0,0,0,2,4,NA,NA,NA,Neuron,Synaptojanin and Endophilin Mediate Neck Formation during Ultrafast Endocytosis,,Cell Press,98,6,1184,,Neuron,NA,
2810211945,NSF-1449785,First,NA,1449785,10.1038/S41929-018-0094-5,,2018,7/2/18,NA,NA,139,NA,58,NA,4,2,-0.000374326,NA,NA,NA,NA,NA,0,0,8,0,0,2,NA,NA,NA,NA,Interaction trends between single metal atoms and oxide supports identified with density functional theory and statistical learning,,Nature Publishing Group,1,7,531,539,Nature Catalysis,NA,
2810277975,NSF-1068871,Crossref,NA,1068871,10.1016/J.ADVWATRES.2018.06.002,Journal,2018,9/1/18,145524021,NA,19,NA,135,NA,6,4,-0.000388721,-20.00074918,842,38.37231192,0,0,0,0,0,0,0,8,NA,NA,NA,Advances in Water Resources,Transport in a coordinated soil-root-xylem-phloem leaf system,,Elsevier BV,119,NA,1,16,Advances in Water Resources,NA,
2810377972,NSF-1633831,First,NA,1633831,10.1002/EAP.1742,Journal,2018,9/1/18,166870025,NA,17,NA,65,NA,16,5,-0.000436936,-22.8156573,680,37.60226762,4.5,1,0,3,0,0,1,3,NA,NA,NA,Ecological Applications,Engineered Nanoparticles Interact with Nutrients to Intensify Eutrophication in a Wetland Ecosystem Experiment,,"John Wiley & Sons, Ltd",28,6,1435,1449,Ecological Applications,NA,
2810439497,NSF-1068871,Crossref,NA,1068871,10.1103/PHYSREVE.98.052132,Journal,2018,11/26/18,35412551,NA,5,NA,61,NA,2,1,7.37082626962483e-05,-33.6742514,505,-0.209019904,0,0,0,0,0,0,0,4,NA,NA,NA,Physical Review E,"State-dependent jump processes: Itô-Stratonovich interpretations, potential, and transient solutions",,American Physical Society,98,5,052132,,Physical Review E,NA,
2810491376,NSF-1633299,Crossref,NA,1633299,10.1145/3197517.3201294,Journal,2018,7/30/18,185367456,NA,86,NA,58,NA,10,3,-0.002604167,-9.289473855,174,12.35331064,0.428571429,2,1,0,3,0,0,3,NA,NA,NA,ACM Transactions on Graphics,Towards virtual reality infinite walking: dynamic saccadic redirection,,ACM,37,4,67,,ACM Transactions on Graphics,NA,
2810661710,NSF-1450032,First,NA,1450032,10.1371/JOURNAL.PNTD.0006599,Journal,2018,7/2/18,46544255,NA,24,NA,36,NA,13,2,-0.00356697,-0.44549683,280,41.389132,0,0,0,0,3,0,1,1,NA,NA,NA,PLOS Neglected Tropical Diseases,Variation in competence for ZIKV transmission by Aedes aegypti and Aedes albopictus in Mexico.,,Public Library of Science,12,7,,,PLOS Neglected Tropical Diseases,NA,
2810887117,NSF-1068871,Crossref,NA,1068871,10.1016/J.ATMOSENV.2018.06.048,Journal,2018,9/1/18,2400914,NA,7,NA,40,NA,4,3,-0.000202115,-23.21257782,111,51.59916792,-0.5,1,0,0,0,0,0,4,NA,NA,NA,Atmospheric Environment,Effects of leaf area index and density on ultrafine particle deposition onto forest canopies: A LES study,,Pergamon,189,NA,153,163,Atmospheric Environment,NA,
2810935036,NSF-1545261,First,NA,1545261,10.1111/IBI.12641,Journal,2019,4/1/19,4147745,NA,3,NA,62,NA,7,3,-3.78E-05,-5.803602928,607,86.54863758,0,0,0,2,72,0,0,1,NA,NA,NA,Ibis,Genetic structure of the Painted Bunting and its implications for conservation of migratory populations,,"John Wiley & Sons, Ltd",161,2,372,386,Ibis,NA,
2810958173,NSF-1633831,First,NA,1633831,10.1016/J.JHYDROL.2018.06.078,Journal,2018,9/1/18,55737203,NA,5,NA,43,NA,3,3,-0.000345185,-0.199779642,193,80.68215509,0,0,0,0,0,0,0,1,NA,NA,NA,Journal of Hydrology,"Geochemical characterization and modeling of regional groundwater contributing to the Verde River, Arizona between Mormon Pocket and the USGS Clarkdale gage",,Elsevier,564,NA,99,114,Journal of Hydrology,NA,
2810989383,NSF-1449617,First,NA,1449617,10.1002/WAT2.1299,Journal,2018,9/1/18,2764490608,NA,7,NA,75,NA,7,4,-0.000910036,-5.809943237,873,49.08875923,0,0,0,0,3,0,0,3,NA,NA,NA,Wiley Interdisciplinary Reviews: Water,"A review of the current state of knowledge of proglacial hydrogeology in the Cordillera Blanca, Peru",,"John Wiley & Sons, Ltd",5,5,,,Wiley Interdisciplinary Reviews: Water,NA,
2811088216,NSF-1068864,Crossref,NA,1068864,10.1002/WE.2221,Journal,2018,11/1/18,79495670,NA,7,NA,19,NA,2,1,-0.001618647,-26.22187674,49,151.8441517,1.222222222,1,0,0,0,0,0,1,NA,NA,NA,Wind Energy,Vortex‐induced vibration of spar platforms for floating offshore wind turbines,,"John Wiley & Sons, Ltd",21,11,1169,1176,Wind Energy,NA,
2811089475,NSF-1069240,Crossref,NA,1069240,10.1103/PHYSREVMATERIALS.2.071002,Journal,2018,7/3/18,2786256796,NA,1,NA,44,NA,14,3,-7.59E-05,17.05359666,196,168.2955077,1,2,0,0,0,0,0,1,NA,NA,NA,Physical Review Materials,Layer dependence of third-harmonic generation in thick multilayer graphene,,American Physical Society,2,7,071002,,Physical Review Materials,NA,
2811105108,NSF-1633756,First,NA,1633756,10.1111/ELE.13098,Journal,2018,9/1/18,80967739,NA,128,NA,85,NA,9,2,-0.001416667,11.07319309,480,159.0537888,0.133101852,2,0,0,53,0,0,5,NA,NA,NA,Ecology Letters,Competition and Coexistence in Plant Communities: Intraspecific Competition is Stronger Than Interspecific Competition,,Ecol Lett,21,9,1319,1329,Ecology Letters,NA,
